A1CF	ENSG00000148584		Homo Sapiens
A4GNT	ENSG00000118017		Homo Sapiens
AACS	ENSG00000081760		Homo Sapiens
PRXL2C	ENSG00000158122		Homo Sapiens
AAGAB	ENSG00000103591		Homo Sapiens
AAK1	ENSG00000115977		Homo Sapiens
AAR2	ENSG00000131043		Homo Sapiens
AARS1	ENSG00000090861		Homo Sapiens
AARS2	ENSG00000124608		Homo Sapiens
AASS	ENSG00000008311		Homo Sapiens
AATK	ENSG00000181409		Homo Sapiens
ABCA12	ENSG00000144452		Homo Sapiens
ABCA2	ENSG00000107331		Homo Sapiens
ABCA3	ENSG00000167972		Homo Sapiens
ABCB10	ENSG00000135776		Homo Sapiens
ABCB11	ENSG00000073734		Homo Sapiens
ABCB7	ENSG00000131269		Homo Sapiens
ABCC1	ENSG00000103222		Homo Sapiens
ABCC10	ENSG00000124574		Homo Sapiens
ABCC4	ENSG00000125257		Homo Sapiens
ABCC9	ENSG00000069431		Homo Sapiens
ABCD2	ENSG00000173208		Homo Sapiens
ABCD3	ENSG00000117528		Homo Sapiens
ABCE1	ENSG00000164163		Homo Sapiens
ABCF1	ENSG00000204574		Homo Sapiens
ABCF3	ENSG00000161204		Homo Sapiens
ABCG1	ENSG00000160179		Homo Sapiens
ABCG4	ENSG00000172350		Homo Sapiens
ABCG8	ENSG00000143921		Homo Sapiens
ABHD12B	ENSG00000131969		Homo Sapiens
ABHD14A	ENSG00000248487		Homo Sapiens
ABHD14A-ACY1	ENSG00000114786		Homo Sapiens
ABHD15	ENSG00000168792		Homo Sapiens
ABHD17A	ENSG00000129968		Homo Sapiens
ABHD17B	ENSG00000107362		Homo Sapiens
ABHD17C	ENSG00000136379		Homo Sapiens
ABHD2	ENSG00000140526		Homo Sapiens
ABHD4	ENSG00000100439		Homo Sapiens
ABHD5	ENSG00000011198		Homo Sapiens
ABHD6	ENSG00000163686		Homo Sapiens
ABI1	ENSG00000136754		Homo Sapiens
ABI2	ENSG00000138443		Homo Sapiens
ABL1	ENSG00000097007		Homo Sapiens
ABL2	ENSG00000143322		Homo Sapiens
